index,deforestation_class,vh_dB,vv_dB
1394304,2.0,-20.695124,-14.375968
179872,1.0,-20.755905,-17.148445
1232270,2.0,-12.506833,-4.4597116
249763,2.0,-15.375175,-11.716534
2878256,2.0,-16.407742,-7.952037
534389,2.0,-14.613604,-12.271191
3291289,2.0,-15.047774,-10.536366
339662,1.0,-16.93608,-8.6365595
2134620,2.0,-15.000309,-7.2081585
1928985,1.0,-15.396347,-12.342538
87740,1.0,-19.5234,-15.514555
1920316,1.0,-17.371662,-11.119489
134104,1.0,-17.368187,-11.899289
2360894,1.0,-16.354107,-10.226811
3656669,1.0,-13.063267,-12.0750065
58729,2.0,-16.9161,-11.718163
3064446,2.0,-11.700016,-5.8191767
967059,1.0,-18.99686,-12.493385
3561731,1.0,-14.263586,-11.91016
3697835,1.0,-14.585337,-11.017624
2584682,2.0,-13.493771,-7.513309
3745304,1.0,-18.418724,-14.743117
1117021,2.0,-16.835451,-10.947188
2795726,1.0,-15.207443,-6.4261026
555767,2.0,-21.934238,-12.364784
3179625,2.0,-13.66579,-9.121673
342121,2.0,-13.0186615,-9.122862
2939734,2.0,-17.10799,-12.642144
1260477,1.0,-16.144375,-12.984764
3588912,2.0,-15.023084,-10.767971
3686055,2.0,-15.615884,-8.956622
3068247,1.0,-13.8045845,-11.647558
2304525,2.0,-16.848377,-8.926168
998668,2.0,-15.025534,-9.220575
3032908,1.0,-20.02118,-17.470224
2222782,2.0,-13.293523,-9.687249
2591053,2.0,-16.682953,-8.626905
2909462,2.0,-19.071384,-10.957706
408472,2.0,-18.070967,-13.344305
1234252,2.0,-11.434645,-8.760537
2196371,2.0,-14.410838,-9.646473
1524414,1.0,-14.697165,-9.695245
2818624,2.0,-23.30463,-17.746504
254245,1.0,-18.985022,-13.892572
2503744,2.0,-12.8201,-5.34709
2197652,2.0,-13.55398,-7.599737
1390516,1.0,-18.117058,-11.657845
2040149,1.0,-19.342978,-10.419346
2746332,2.0,-19.611694,-13.339666
2648507,2.0,-13.228975,-8.898393
3145343,2.0,-15.611395,-11.7442875
1610877,2.0,-11.389915,-8.803381
2388680,2.0,-17.82714,-13.068329
1140215,2.0,-14.971798,-8.959677
651361,2.0,-15.305285,-10.390643
1615152,2.0,-13.482885,-9.64742
2617319,2.0,-18.437597,-15.084517
3747801,1.0,-15.558796,-6.8097878
415643,2.0,-18.057865,-11.601791
1738969,2.0,-13.66868,-10.297417
1633397,2.0,-17.141817,-7.759008
1892453,1.0,-19.40424,-13.853163
1245058,1.0,-14.041795,-6.704409
8346,2.0,-13.874311,-7.4524183
3228268,1.0,-16.41849,-14.053245
3746016,2.0,-11.422935,-10.700607
2455117,1.0,-13.158723,-6.3476734
778858,2.0,-17.852736,-10.01894
1339432,2.0,-12.970324,-7.0881658
3012630,1.0,-17.321531,-7.624829
2063621,1.0,-21.654518,-16.964048
2562902,2.0,-15.384567,-7.6498103
125895,1.0,-19.680483,-12.4993305
1643911,1.0,-17.2813,-10.925998
769519,2.0,-19.077,-8.749379
1954227,1.0,-20.684435,-17.360624
1316045,1.0,-19.231333,-13.390905
3701470,1.0,-12.171036,-4.348638
2972094,2.0,-17.85196,-9.813643
768236,1.0,-20.134682,-12.425522
2632378,1.0,-23.325281,-10.933586
2071666,1.0,-17.318966,-11.708413
2007845,2.0,-14.296968,-5.021953
2148,2.0,-14.039587,-9.0811
2902630,2.0,-15.764576,-10.367298
1443344,2.0,-12.153305,-8.868344
3706931,2.0,-11.132737,-5.771117
60996,1.0,-22.506561,-16.759947
2809712,2.0,-16.241415,-9.237807
832192,2.0,-17.113111,-8.769411
2830824,2.0,-13.181841,-8.52724
2531779,1.0,-17.997047,-12.788136
859297,2.0,-20.151346,-13.871849
3233027,2.0,-13.990784,-9.142178
982984,1.0,-17.968441,-13.402058
140875,1.0,-17.845034,-11.530184
3260567,2.0,-14.248923,-11.502901
132465,2.0,-13.41926,-8.044063
1535546,1.0,-15.409335,-14.307777
2238199,1.0,-15.264362,-9.995502
3633346,1.0,-16.444458,-10.060823
386318,1.0,-19.627758,-15.403372
1836142,2.0,-14.861592,-8.69567
1594377,2.0,-12.795286,-9.026568
112854,1.0,-14.573506,-6.5082746
2724882,2.0,-18.454586,-6.962197
3274798,1.0,-18.092236,-12.192295
1359847,2.0,-19.170143,-14.485197
2258723,1.0,-24.603727,-15.962762
790661,2.0,-12.101072,-10.07412
1506728,2.0,-19.84039,-10.745085
844553,1.0,-24.206312,-15.613059
1376475,2.0,-15.014397,-11.536301
23854,1.0,-18.03977,-14.271997
2932389,2.0,-11.861723,-7.905593
1822285,2.0,-15.837375,-11.355934
2757468,2.0,-16.671017,-12.722015
946231,2.0,-13.965406,-12.330408
623399,1.0,-24.897673,-13.865959
857243,1.0,-19.474747,-6.694612
349304,2.0,-15.278212,-10.70694
1603484,2.0,-15.791685,-10.995962
2535982,2.0,-14.808408,-6.693371
2620172,2.0,-14.811851,-7.8601003
801345,1.0,-18.568037,-10.379462
3636182,1.0,-15.196271,-12.816904
3025782,2.0,-17.406796,-9.242422
1925357,1.0,-19.177872,-11.246059
1759875,2.0,-16.254934,-8.586365
1470059,2.0,-17.630732,-12.330812
1746229,1.0,-18.295242,-11.633341
2973636,2.0,-15.755571,-9.333576
3744803,2.0,-11.208803,-9.992265
3548851,2.0,-15.986835,-9.4689665
3703438,1.0,-17.091007,-9.899033
1949068,2.0,-11.479664,-7.5543003
378686,1.0,-18.495426,-15.049627
3495670,2.0,-14.513521,-10.007465
1879619,1.0,-17.072546,-13.461113
3416626,2.0,-14.550757,-10.478682
3211696,2.0,-14.721954,-8.93287
641523,1.0,-19.177595,-10.131778
227492,1.0,-17.490189,-8.451716
232895,2.0,-18.61161,-12.087674
2878052,1.0,-23.140352,-15.575823
1022743,2.0,-13.763003,-6.7196918
2169195,1.0,-21.603584,-14.325287
1887021,1.0,-17.223215,-11.933507
145038,2.0,-16.770351,-13.903601
2834502,2.0,-13.775526,-9.451624
3565186,2.0,-15.116877,-6.5339236
2297233,2.0,-16.57107,-9.354811
1893219,2.0,-14.037235,-8.189622
851968,1.0,-17.621576,-10.795604
700997,2.0,-17.529266,-10.105644
3249391,2.0,-12.357722,-11.00901
2423579,2.0,-11.20219,-9.17622
68327,1.0,-18.727486,-17.36661
740901,2.0,-10.284849,-6.294405
2103372,1.0,-14.578375,-10.808922
3656298,1.0,-20.977558,-13.911046
73114,2.0,-15.528969,-8.716095
3328009,2.0,-18.485626,-8.972138
418401,2.0,-15.112176,-11.764089
2832644,2.0,-17.144043,-12.509891
2765090,2.0,-13.740836,-5.8485126
1244594,2.0,-18.305588,-12.121305
3017066,2.0,-14.163673,-11.639244
204766,2.0,-11.648043,-10.877318
3105015,2.0,-16.552742,-10.484602
2196140,2.0,-14.198578,-9.620549
398599,2.0,-17.249615,-14.156684
3716027,2.0,-15.558216,-9.501795
1425646,2.0,-16.077742,-8.23842
741024,2.0,-13.390587,-9.079429
2592066,2.0,-16.247238,-9.697264
1953388,2.0,-17.38483,-12.270717
985955,2.0,-16.118944,-12.461628
410613,1.0,-19.930435,-15.346235
2647431,1.0,-19.732182,-9.807634
3071522,2.0,-13.660667,-10.994457
65968,2.0,-10.710226,-7.6931896
1175331,2.0,-16.036007,-13.673371
2071339,1.0,-13.261336,-14.559146
1655332,2.0,-13.823829,-9.37201
1863100,1.0,-16.415356,-11.308217
1442314,1.0,-19.748766,-11.686821
805048,1.0,-19.425243,-7.7428155
2314347,1.0,-17.828672,-11.334745
326083,2.0,-15.089575,-12.102045
684404,2.0,-17.13156,-12.128552
1885824,1.0,-17.111,-12.640924
1708520,2.0,-16.105204,-11.315645
2157806,2.0,-16.811953,-11.008247
1182428,2.0,-20.423433,-12.462226
416755,2.0,-16.797707,-15.148779
306201,1.0,-19.086563,-12.97629
2182240,1.0,-23.905897,-12.036528
1609797,1.0,-20.560589,-17.479269
1857497,1.0,-16.897446,-13.179732
222575,1.0,-20.293987,-16.320402
1839265,2.0,-17.23842,-13.740683
869144,2.0,-16.485573,-11.251259
83773,2.0,-18.9142,-11.875336
311592,2.0,-15.048716,-11.312668
739671,2.0,-15.919642,-11.036176
1631089,2.0,-10.81068,-8.973357
3664975,2.0,-14.778451,-8.029552
2148363,1.0,-17.203335,-7.7877116
2733845,2.0,-13.786667,-11.255075
1311977,2.0,-13.458804,-10.154354
2593237,1.0,-18.845097,-10.425976
204082,2.0,-15.41881,-9.878556
3201136,2.0,-13.959637,-12.027651
2061255,1.0,-20.444721,-16.6768
1907152,1.0,-26.161491,-20.056208
2009826,1.0,-26.106432,-15.402525
851747,2.0,-18.848173,-9.674945
2152090,1.0,-18.861631,-8.752962
2561729,1.0,-20.350407,-13.447137
2688255,2.0,-14.913522,-10.445295
2267563,2.0,-18.567795,-13.657051
2282695,1.0,-20.205505,-15.926592
2489756,2.0,-14.7997675,-10.206222
766074,2.0,-12.448234,-11.372009
188111,2.0,-18.945395,-8.502318
3064797,1.0,-15.952607,-13.010326
2081652,1.0,-21.400444,-11.656817
2782944,2.0,-17.386932,-12.585927
1822015,2.0,-18.57068,-12.536982
879912,1.0,-18.728634,-9.451458
1940491,1.0,-18.939173,-8.311169
1583778,2.0,-12.22611,-14.667483
1268430,2.0,-17.10976,-10.845287
130311,1.0,-17.82739,-17.205742
73800,1.0,-20.590275,-14.495798
436554,1.0,-18.25474,-13.5273075
289545,1.0,-21.155647,-16.38827
2236155,1.0,-20.642168,-16.742855
1265043,2.0,-14.940468,-10.4586525
2145415,2.0,-17.144249,-10.738639
3014361,2.0,-13.972554,-9.519883
40389,1.0,-18.85737,-11.299437
158365,2.0,-14.223064,-9.820521
145405,2.0,-14.599305,-9.62674
544112,2.0,-17.811277,-13.024697
101626,1.0,-20.921862,-11.816186
854754,2.0,-13.101822,-5.942584
2722692,2.0,-17.952402,-13.106942
3315755,1.0,-18.041708,-15.808606
1396812,2.0,-17.050922,-8.989763
1705991,2.0,-13.062491,-12.666427
2643546,1.0,-20.306248,-15.928074
311233,1.0,-16.318682,-9.26556
3386150,1.0,-16.690767,-10.883844
1799230,2.0,-11.401825,-10.255489
1462938,1.0,-18.20168,-13.985871
352756,1.0,-19.127842,-15.423592
2200961,1.0,-15.695252,-8.556141
211244,1.0,-21.025541,-14.546907
528688,2.0,-14.141029,-7.764842
635032,2.0,-13.870728,-12.230379
400537,2.0,-16.109617,-9.223387
1935898,1.0,-22.925182,-11.227503
1565596,1.0,-18.170351,-12.723209
2089351,1.0,-18.423344,-13.115119
3080614,2.0,-18.015585,-9.374134
373344,1.0,-20.919706,-14.255706
211739,1.0,-18.074074,-13.286911
1600250,2.0,-13.567495,-8.830612
473821,2.0,-16.35581,-7.7587585
2800247,1.0,-14.326433,-10.551422
2622281,2.0,-15.098019,-13.089468
1152407,1.0,-16.392696,-11.542387
792035,1.0,-15.009516,-9.112228
1615524,1.0,-17.394043,-13.636627
1907206,1.0,-16.278933,-12.184502
537388,2.0,-17.859137,-12.622541
2789265,2.0,-17.086634,-8.835927
124075,1.0,-25.562145,-21.559769
1022108,2.0,-14.810244,-9.7744875
3242404,2.0,-13.596443,-11.538281
337772,1.0,-17.03651,-12.779348
124111,1.0,-20.71571,-18.12576
661559,2.0,-13.7766075,-4.046429
494067,2.0,-17.658396,-12.869967
2248459,2.0,-15.2999115,-9.139941
3437111,1.0,-14.527067,-10.745587
898587,1.0,-20.236483,-13.897972
786813,1.0,-15.188482,-11.515838
2282464,2.0,-17.576942,-11.145203
679181,2.0,-15.598054,-9.110941
1382176,2.0,-16.088501,-8.988874
3258218,1.0,-18.977798,-13.582008
401120,1.0,-20.215494,-9.960502
498969,2.0,-15.030089,-14.440834
1968449,2.0,-13.627215,-7.923866
1433218,1.0,-17.827265,-13.428404
2734753,2.0,-20.041382,-12.494063
1525136,2.0,-14.940461,-11.564008
2163681,2.0,-12.42038,-5.4562354
3526507,2.0,-14.844903,-13.3140955
2661718,1.0,-13.266411,-7.093133
2397467,2.0,-14.468014,-10.651349
2256872,1.0,-21.795723,-17.671282
2305663,1.0,-19.600159,-17.055164
2011777,1.0,-24.150185,-15.466364
517314,2.0,-18.036661,-10.082138
2360683,2.0,-14.775647,-8.9554825
2948433,2.0,-18.261448,-11.040097
1910906,2.0,-15.707765,-12.20448
390000,2.0,-17.147392,-9.491177
3014616,1.0,-13.27119,-11.450162
953592,2.0,-15.292593,-9.52244
2027219,1.0,-16.748672,-10.762503
1516729,1.0,-20.210058,-13.118052
2688292,1.0,-17.80729,-12.904371
1744704,1.0,-19.180822,-13.337926
553786,2.0,-17.374533,-11.809297
2212084,1.0,-19.452671,-9.319274
464342,1.0,-25.45291,-15.330153
442612,2.0,-18.72763,-14.540209
2585377,2.0,-14.322136,-7.212946
1787770,2.0,-19.445503,-10.738003
1601912,2.0,-19.123543,-15.009466
2028240,1.0,-20.21268,-12.6314745
551739,1.0,-18.937685,-13.061615
459908,2.0,-11.702358,-10.052075
2432531,2.0,-11.312713,-5.3967314
762069,2.0,-12.837976,-8.848248
3443275,2.0,-16.436274,-12.135153
2596941,1.0,-20.09536,-12.993836
3597730,2.0,-14.279904,-9.766586
300473,1.0,-18.400581,-14.223734
2508534,2.0,-16.601406,-5.7972474
777500,1.0,-22.728924,-11.858569
2169205,1.0,-16.039812,-12.686331
64534,1.0,-18.6788,-11.4908905
2114507,1.0,-16.148056,-12.193923
3391958,1.0,-20.858883,-13.257598
2623056,1.0,-20.798597,-13.646932
2497344,2.0,-14.753201,-8.515749
777144,2.0,-16.070663,-15.032125
1542887,1.0,-18.823368,-14.810853
706656,2.0,-16.99949,-15.979725
1628345,1.0,-21.342852,-13.0101
610732,2.0,-16.671368,-10.856607
1828462,1.0,-19.282686,-9.61115
2219243,2.0,-18.539959,-9.218323
5283,1.0,-16.889261,-10.640906
3322547,1.0,-16.30682,-11.122353
429648,2.0,-11.018123,-9.440225
181591,2.0,-14.581469,-8.482998
1411359,1.0,-16.17665,-11.893992
177532,2.0,-12.345592,-9.970497
1586779,2.0,-18.275677,-10.725537
1033352,1.0,-17.462337,-13.250489
2672922,1.0,-13.640342,-7.050633
1879517,1.0,-20.618858,-14.329952
3391847,1.0,-16.112648,-17.93402
1930062,1.0,-19.018066,-14.159876
728663,2.0,-14.519769,-12.894006
2602070,2.0,-16.689137,-8.694955
2464170,2.0,-16.590744,-12.673162
293036,1.0,-19.529682,-10.727224
2490299,2.0,-11.486659,-9.335812
1551696,2.0,-13.481473,-9.792142
273366,2.0,-18.47155,-7.1232834
3025004,2.0,-15.588508,-7.1920805
2441706,2.0,-14.081145,-9.434629
105576,1.0,-23.29478,-18.121393
3100771,2.0,-13.399949,-13.677244
1563263,2.0,-16.963875,-9.264368
1415610,2.0,-16.783463,-11.12464
3530151,1.0,-12.93955,-8.023041
1546990,1.0,-15.79013,-12.4314575
3611443,1.0,-17.24075,-10.594725
72187,1.0,-26.01657,-17.97712
2725347,2.0,-14.295224,-17.200262
3623373,2.0,-14.412481,-10.058054
1534646,2.0,-14.518367,-10.048302
124326,2.0,-16.025326,-10.624503
2807828,2.0,-14.999782,-12.152561
68358,1.0,-20.974085,-16.558327
2004122,1.0,-18.213526,-11.269003
3655539,2.0,-15.052683,-7.8765197
111680,2.0,-16.840334,-7.4258976
577139,2.0,-17.005451,-10.582527
3087743,2.0,-16.030119,-10.141348
2085330,1.0,-17.474949,-11.509846
2892390,2.0,-15.1819,-10.101476
1373120,1.0,-18.224857,-8.714173
3331147,1.0,-15.114688,-10.28895
1733100,2.0,-15.7222595,-5.9082184
2235697,2.0,-18.732254,-10.067758
2165104,1.0,-18.873919,-13.158907
610439,1.0,-18.734,-12.376673
3503539,2.0,-13.321404,-10.750921
338454,2.0,-14.6809,-12.538898
1241816,1.0,-20.677126,-12.353731
2041200,2.0,-21.72557,-14.178738
2373447,2.0,-12.583279,-10.119801
2548247,2.0,-16.504261,-11.443629
1916012,1.0,-22.95877,-16.277082
2122990,1.0,-19.537464,-14.519054
1115860,2.0,-17.621252,-11.1077
3622233,1.0,-18.496046,-11.257111
3652711,2.0,-10.943756,-7.597366
373353,1.0,-19.899498,-14.8515625
2846990,2.0,-16.940914,-10.299478
1863185,2.0,-15.33306,-11.6436825
2880958,2.0,-14.575632,-8.385429
1647138,1.0,-16.806244,-13.022177
721665,2.0,-19.07443,-16.028126
150741,1.0,-16.703503,-13.105663
3532144,2.0,-13.276964,-10.298285
1118350,2.0,-11.827745,-11.0152855
389103,2.0,-11.726929,-6.2700896
2850679,1.0,-17.14468,-9.732201
3325214,2.0,-11.86613,-7.7069445
1399007,2.0,-14.720012,-10.508678
3666802,2.0,-18.277603,-12.042168
285824,1.0,-17.17199,-17.012295
680821,1.0,-22.719326,-12.871624
1876683,1.0,-17.149338,-13.554935
1991685,1.0,-17.840946,-10.824746
1957934,1.0,-22.566435,-14.686798
550544,2.0,-14.372815,-10.222755
1754726,1.0,-15.355487,-9.40436
236933,1.0,-15.711895,-13.721165
3083413,1.0,-16.390436,-14.612111
3276710,1.0,-21.958832,-9.320866
1971052,1.0,-23.055454,-14.438271
3072996,2.0,-14.810213,-8.279467
3473845,1.0,-17.056887,-14.818197
1518,1.0,-17.942385,-16.237225
3143,2.0,-16.45376,-12.7138605
1899986,1.0,-18.481577,-9.3098345
318637,1.0,-19.709703,-10.844627
427999,2.0,-14.757439,-10.563419
3171213,2.0,-11.020773,-6.3836265
2245630,1.0,-26.026098,-15.234659
1502983,2.0,-18.87933,-9.633971
2797014,2.0,-12.9998665,-10.283504
2881754,1.0,-21.878246,-12.634864
1682165,1.0,-18.443504,-10.920736
2018764,2.0,-14.709402,-9.370268
2820775,2.0,-17.608454,-11.522855
2794922,2.0,-11.957974,-8.762503
986322,1.0,-17.88308,-9.628037
3095660,2.0,-13.847137,-10.075256
1748096,1.0,-18.001282,-15.386705
1658192,1.0,-18.771914,-17.021935
1389983,1.0,-19.55212,-13.872942
231857,1.0,-21.367313,-15.582932
2022010,2.0,-12.548151,-9.833225
3202681,1.0,-13.955401,-11.252398
1369929,2.0,-15.873456,-11.32248
2398822,2.0,-14.14798,-9.51782
3600232,2.0,-15.739405,-11.017055
3742154,1.0,-17.919424,-9.583213
3069952,1.0,-20.10152,-14.181475
326059,1.0,-19.750076,-12.55551
3178190,1.0,-19.786095,-15.140778
2948426,2.0,-17.9239,-13.787323
1574834,2.0,-17.94442,-14.450149
1991561,1.0,-18.00606,-13.41799
2117211,1.0,-18.284914,-12.452492
1709151,2.0,-18.044943,-10.889095
1452510,2.0,-18.017956,-9.706722
2480746,2.0,-14.123396,-6.0426164
2259447,2.0,-17.34362,-8.088924
22247,1.0,-12.541938,-11.852743
1444495,1.0,-20.599688,-13.844539
2639165,2.0,-18.090689,-15.190524
3232517,2.0,-15.002903,-10.163078
1088032,1.0,-17.978643,-13.30779
1137791,2.0,-13.6387825,-12.861275
2799521,1.0,-23.72037,-11.956278
3388230,1.0,-19.345358,-9.712487
1126388,1.0,-13.7824545,-13.88492
2307526,1.0,-17.727001,-14.320877
3010766,1.0,-12.008467,-6.8023396
1446089,2.0,-15.727081,-7.9379854
1465416,2.0,-14.125928,-9.008711
69848,2.0,-14.944569,-10.472097
2713799,1.0,-15.022365,-5.241096
1072125,2.0,-14.795029,-13.63737
2295536,2.0,-17.6862,-13.426842
3515137,2.0,-18.796415,-13.738697
483216,1.0,-14.966242,-11.12645
1475128,2.0,-10.955824,-8.420817
2798436,2.0,-14.754498,-8.009672
1480655,2.0,-17.202347,-11.794206
2426394,2.0,-14.662077,-7.4125338
2346745,2.0,-16.59368,-10.655974
3742405,1.0,-12.106892,-0.33236015
1123709,2.0,-13.644248,-10.131977
671372,2.0,-15.492053,-14.704172
2063636,1.0,-20.260597,-17.405907
1408729,2.0,-14.256066,-8.236377
1995172,1.0,-22.509075,-16.398085
3520255,2.0,-17.680065,-9.397904
518206,2.0,-13.074273,-5.4969873
907622,1.0,-18.442772,-14.594425
892678,1.0,-16.843727,-8.694942
3395443,1.0,-17.435392,-15.891438
235572,1.0,-23.04384,-16.116297
1383007,1.0,-19.705635,-12.3428955
3339259,1.0,-13.786221,-10.214886
1640176,2.0,-14.724904,-9.505579
2239818,1.0,-22.133755,-11.985842
118522,1.0,-22.764559,-13.741131
3139401,2.0,-17.62012,-9.453246
2179093,2.0,-18.8109,-14.135166
85182,1.0,-19.460466,-19.274426
1865271,2.0,-15.158279,-12.696834
1106291,2.0,-14.638737,-9.518505
427494,2.0,-17.744324,-13.192772
182001,1.0,-20.043549,-11.139555
2447068,2.0,-15.947231,-9.413157
3265849,1.0,-17.473473,-11.107313
181576,1.0,-21.602982,-18.069437
1227394,2.0,-16.205896,-14.221568
116455,1.0,-19.759233,-14.5575905
2624845,1.0,-20.184635,-13.074661
1297901,2.0,-15.309077,-7.754943
24077,1.0,-22.802086,-13.728708
1100217,2.0,-17.002922,-13.37317
3296980,2.0,-15.352488,-10.352846
2727758,2.0,-16.528084,-7.40628
946975,2.0,-14.910028,-9.820092
1962115,2.0,-15.681418,-10.348979
3705228,1.0,-14.679569,-10.074488
